symbol,name,price(usd),supply,maxSupply
BTC,Bitcoin,61084.1342510378210765,19743896.0000000000000000,21000000.0000000000000000
ETH,Ethereum,2671.5623680699747616,120296142.0774667300000000,
USDT,Tether,1.0003333850172196,117676046786.1143300000000000,
BNB,BNB,579.8419348619016422,166801148.0000000000000000,166801148.0000000000000000
SOL,Solana,144.6042587015828446,465930290.9456569600000000,
USDC,USDC,1.0002326597754292,34580843007.1693000000000000,
XRP,XRP,0.5995540050814260,45404028640.0000000000000000,100000000000.0000000000000000
DOGE,Dogecoin,0.1068641269427995,145650806383.7052000000000000,
ADA,Cardano,0.3820959531377162,35952011780.3320000000000000,45000000000.0000000000000000
TRX,TRON,0.1562741819564780,86876418694.6311300000000000,
AVAX,Avalanche,26.1408523009436202,404787191.7742883600000000,715748719.0000000000000000
WBTC,Wrapped Bitcoin,61068.1313925074996250,153634.4944702200000000,
SHIB,Shiba Inu,0.0000143455891476,589270313394595.0000000000000000,
LINK,Chainlink,11.6371641277972297,608099970.4527867000000000,
BCH,Bitcoin Cash,350.1198870622874755,19750721.8750000000000000,21000000.0000000000000000
DOT,Polkadot,4.7351731034741845,1403508463.0934000000000000,
LEO,UNUS SED LEO,5.8695716909309306,925661786.9000000000000000,
DAI,Multi Collateral DAI,1.0005574269551809,5365382702.6648720000000000,
MATIC,Polygon,0.5321280214079054,9963724263.2462640000000000,
NEAR,NEAR Protocol,4.5722372284157673,1118209654.0000000000000000,
LTC,Litecoin,64.1807848525361420,74893699.8566697000000000,84000000.0000000000000000
UNI,Uniswap,6.9414721072503584,600109614.7100000000000000,
ICP,Internet Computer,8.1666983769945447,469209598.0837472700000000,
XMR,Monero,166.0679259081260536,18446744.0737095500000000,
ETC,Ethereum Classic,19.8929476186510857,148443102.3575506000000000,210700000.0000000000000000
XLM,Stellar,0.0995701347359785,29481194315.2561400000000000,50001806812.0000000000000000
FET,Artificial Superintelligence Alliance,1.0622900234522081,2520000000.0000000000000000,2630547141.0000000000000000
STX,Stacks,1.6615327217933181,1483002043.8624030000000000,1818000000.0000000000000000
FIL,Filecoin,4.0622202377826503,580896333.0000000000000000,
CRO,Crypto.com Coin,0.0873525011996693,25263013692.0000000000000000,30263013692.0000000000000000
VET,VeChain,0.0248480726072506,80985041177.0000000000000000,86712634466.0000000000000000
AAVE,Aave,134.0960604973733900,14913880.9425137100000000,
MKR,Maker,2108.9491862866126325,930365.9232952400000000,1005577.0000000000000000
AR,Arweave,24.7742340178821845,65652466.0000000000000000,66000000.0000000000000000
GRT,The Graph,0.1628502260074846,9548531509.1654740000000000,
INJ,Injective,20.6349480417441981,73005554.3300000000000000,100000000.0000000000000000
RUNE,THORChain,4.2487225667122588,334983394.0000000000000000,
FTM,Fantom,0.4932116509743700,2803634835.5265927000000000,
THETA,THETA,1.3434568826280809,1000000000.0000000000000000,1000000000.0000000000000000
ATOM,Cosmos,4.8321697450616846,248453201.0000000000000000,
ALGO,Algorand,0.1389269377733638,8227305341.7926330000000000,10000000000.0000000000000000
HNT,Helium,6.7211468944183035,160875441.8242133300000000,
LDO,Lido DAO,1.1740203117603338,894410033.9035121000000000,
KCS,KuCoin Token,8.3632593838874146,117971705.2884767500000000,170118638.0000000000000000
FLOW,Flow,0.5871811007141768,1527463583.1713634000000000,
BSV,Bitcoin SV,44.8866349429389992,19746553.1250000000000000,
HBAR,Hedera Hashgraph,0.0562937327668560,14832756028.0000000000000000,50000000000.0000000000000000
QNT,Quant,69.1583265462359562,12072738.0000000000000000,14881364.0000000000000000
EOS,EOS,0.5323821845947278,1505370878.3773000000000000,2100000000.0000000000000000
AXS,Axie Infinity,5.1418267393739426,148858563.1222891000000000,
NEO,Neo,10.7851261266236297,70538831.0000000000000000,100000000.0000000000000000
GT,GateToken,7.9061340096683896,93258374.7267789700000000,
XTZ,Tezos,0.7102808868497722,995985605.8972540000000000,
EGLD,MultiversX,28.8274601524647320,24184559.1898415400000000,31415926.0000000000000000
XEC,eCash,0.0000346869562760,19746857798091.0000000000000000,21000000000000.0000000000000000
GALA,Gala,0.0200471678485534,34072641270.0149080000000000,
CFX,Conflux,0.1539572165447733,4334982375.2700000000000000,
SAND,The Sandbox,0.2848255157271552,2336232126.2233224000000000,
ZEC,Zcash,40.4478260203948557,16328268.7500000000000000,21000000.0000000000000000
KLAY,Klaytn,0.1695372404889410,3802473174.4287380000000000,
AKT,Akash Network,2.5304481005813551,248285800.8021510000000000,388539008.0000000000000000
NEXO,Nexo,1.0506654256060762,560000011.0000000000000000,
MANA,Decentraland,0.2945561095828357,1908319865.3915880000000000,
MINA,Mina,0.4824166601459212,1148036249.8400393000000000,
AIOZ,AIOZ Network,0.4836983656079351,1116629656.9179156000000000,
CHZ,Chiliz,0.0593993757465058,8998016997.0000000000000000,
DEXE,DeXe,8.8632174949488919,57103247.5232684700000000,98942301.0000000000000000
CAKE,PancakeSwap,1.9934429247805957,249112741.5197227300000000,450000000.0000000000000000
TUSD,TrueUSD,0.9995745938037222,495601552.6100000000000000,
FTT,FTX Token,1.5061089037073028,328895103.8132070000000000,
IOTA,IOTA,0.1416481531471421,3401744787.0000000000000000,
PENDLE,Pendle,3.0150909246313968,157869921.1391729700000000,
OM,MANTRA DAO,0.9278512372285871,500205033.1781248500000000,888888888.0000000000000000
RAY,Raydium,1.7095011451224765,263643777.5981770000000000,
GNO,Gnosis,169.5017616391349031,2589588.0000000000000000,3000000.0000000000000000
LPT,Livepeer,12.8469071711344499,34065780.1185994000000000,
CKB,Nervos Network,0.0096499834052522,44797341587.1750300000000000,
