symbol,name,price(usd),supply,maxSupply
XEC,eCash,0.0000347520038359,19746939048091.0000000000000000,21000000000000.0000000000000000
CFX,Conflux,0.1556157555976051,4335041691.9300000000000000,
SAND,The Sandbox,0.2867152525021195,2336232126.2233224000000000,
ZEC,Zcash,40.4621046718529186,16328268.7500000000000000,21000000.0000000000000000
AKT,Akash Network,2.5495536359379576,248285800.8021510000000000,388539008.0000000000000000
KLAY,Klaytn,0.1658013599700246,3802517627.3485740000000000,
NEXO,Nexo,1.0450806050879875,560000011.0000000000000000,
MINA,Mina,0.4966319001055369,1148102895.8400393000000000,
MANA,Decentraland,0.2976581864287373,1908319865.3915880000000000,
AIOZ,AIOZ Network,0.4889635961540351,1116687162.2135115000000000,
CHZ,Chiliz,0.0593361028910540,8998016997.0000000000000000,
DEXE,DeXe,8.9246807799116358,57103247.5232684700000000,98942301.0000000000000000
FTT,FTX Token,1.5262455004687943,328895103.8132070000000000,
CAKE,PancakeSwap,2.0030708973152473,249171294.8104098000000000,450000000.0000000000000000
TUSD,TrueUSD,0.9995802746712160,495601552.6100000000000000,
IOTA,IOTA,0.1423060337328858,3401744787.0000000000000000,
PENDLE,Pendle,3.0653891430068730,157869410.6055773500000000,
LPT,Livepeer,14.1778024139242500,34065780.1185994000000000,
OM,MANTRA DAO,0.9412015303647764,500205033.1781248500000000,888888888.0000000000000000
RAY,Raydium,1.7215692266021038,263643777.5365850000000000,
GNO,Gnosis,171.9391212776182411,2589588.0000000000000000,3000000.0000000000000000
COMP,Compound,52.4484604020627095,8378021.2983498800000000,
CKB,Nervos Network,0.0095485243256509,44798331648.7543600000000000,
FEI,Fei Protocol,0.9961861485598415,424996177.7889055600000000,
ROSE,Oasis,0.0629270952708261,6713599876.0000000000000000,
TFUEL,Theta Fuel,0.0610048288736637,6656721035.0000000000000000,
NXM,NXM,59.1154441794043325,6594067.8412913900000000,
TWT,Trust Wallet Token,0.9351663287629603,416649900.0000000000000000,
KAVA,Kava,0.3578947688127378,1082854768.0000000000000000,
CRV,Curve DAO Token,0.3289745251036779,1167153671.0000000000000000,
SNX,Synthetix,1.5584085957141107,233716733.4900000000000000,212424133.0000000000000000
WEMIX,WEMIX,0.8874524831736090,409568033.1127983300000000,590000000.0000000000000000
IOTX,IoTeX,0.0380006141185473,9441378612.0000000000000000,10000000000.0000000000000000
RSR,Reserve Rights,0.0067466442067804,51059494603.0000000000000000,
1INCH,1inch Network,0.2727996598883301,1256382941.6196074000000000,
WOO,WOO,0.1714936368164610,1921861513.4990904000000000,
GLM,Golem,0.3206988799743798,1000000000.0000000000000000,
KSM,Kusama,20.8278838297345920,15369363.0087346600000000,
AMP,Amp,0.0039085041132262,80722574661.2915300000000000,
DASH,Dash,26.2230699149107505,11926025.0925074800000000,18900000.0000000000000000
JST,JUST,0.0311059585511718,9900000000.0000000000000000,9900000000.0000000000000000
ANT,Aragon,7.0725694053051448,43191429.8753035100000000,
SUPER,SuperVerse,0.6243306525911340,487776093.4169172600000000,1000000000.0000000000000000
XDC,XinFin Network,0.0246945593338032,12293293518.5500000000000000,
HOT,Holo,0.0017291964643777,173694691282.3099000000000000,
